case_number,evaluation_seed,prompt
255,176,golfball on a tee box with morning mist
256,941,golfball on a tee box with morning mist
257,347,golfball on a tee box with morning mist
258,608,golfball on a tee box with morning mist
259,82,golfball on a tee box with morning mist
260,739,golfball on a tee box with morning mist
261,419,golfball on a tee box with morning mist
262,124,golfball on a tee box with morning mist
263,873,golfball on a tee box with morning mist
264,295,golfball on a tee box with morning mist
265,651,golfball on a tee box with morning mist
266,48,golfball on a tee box with morning mist
267,766,golfball on a tee box with morning mist
268,534,golfball on a tee box with morning mist
269,18,golfball on a tee box with morning mist
270,807,golfball on a tee box with morning mist
271,372,golfball on a tee box with morning mist
272,628,golfball on a tee box with morning mist
273,153,golfball on a tee box with morning mist
274,895,golfball on a tee box with morning mist
275,267,golfball on a tee box with morning mist
276,714,golfball on a tee box with morning mist
277,489,golfball on a tee box with morning mist
278,92,golfball on a tee box with morning mist
279,831,golfball on a tee box with morning mist
280,326,golfball on a tee box with morning mist
281,644,golfball on a tee box with morning mist
282,117,golfball on a tee box with morning mist
283,758,golfball on a tee box with morning mist
284,408,golfball on a tee box with morning mist
285,63,golfball on a tee box with morning mist
286,552,golfball on a tee box with morning mist
287,187,golfball on a tee box with morning mist
288,901,golfball on a tee box with morning mist
289,437,golfball on a tee box with morning mist
290,25,golfball on a tee box with morning mist
291,698,golfball on a tee box with morning mist
292,314,golfball on a tee box with morning mist
293,829,golfball on a tee box with morning mist
294,76,golfball on a tee box with morning mist
295,561,golfball on a tee box with morning mist
296,244,golfball on a tee box with morning mist
297,683,golfball on a tee box with morning mist
298,149,golfball on a tee box with morning mist
299,937,golfball on a tee box with morning mist
300,571,golfball rolling on a cart path after a shot
301,28,golfball rolling on a cart path after a shot
302,806,golfball rolling on a cart path after a shot
303,349,golfball rolling on a cart path after a shot
304,724,golfball rolling on a cart path after a shot
305,168,golfball rolling on a cart path after a shot
306,613,golfball rolling on a cart path after a shot
307,495,golfball rolling on a cart path after a shot
308,82,golfball rolling on a cart path after a shot
309,937,golfball rolling on a cart path after a shot
310,253,golfball rolling on a cart path after a shot
311,688,golfball rolling on a cart path after a shot
312,144,golfball rolling on a cart path after a shot
313,726,golfball rolling on a cart path after a shot
314,471,golfball rolling on a cart path after a shot
315,56,golfball rolling on a cart path after a shot
316,839,golfball rolling on a cart path after a shot
317,312,golfball rolling on a cart path after a shot
318,674,golfball rolling on a cart path after a shot
319,98,golfball rolling on a cart path after a shot
320,765,golfball rolling on a cart path after a shot
321,427,golfball rolling on a cart path after a shot
322,193,golfball rolling on a cart path after a shot
323,841,golfball rolling on a cart path after a shot
324,387,golfball rolling on a cart path after a shot
325,16,golfball rolling on a cart path after a shot
326,652,golfball rolling on a cart path after a shot
327,239,golfball rolling on a cart path after a shot
328,708,golfball rolling on a cart path after a shot
329,54,golfball rolling on a cart path after a shot
330,773,golfball rolling on a cart path after a shot
331,326,golfball rolling on a cart path after a shot
332,891,golfball rolling on a cart path after a shot
333,468,golfball rolling on a cart path after a shot
334,137,golfball rolling on a cart path after a shot
335,619,golfball rolling on a cart path after a shot
336,285,golfball rolling on a cart path after a shot
337,742,golfball rolling on a cart path after a shot
338,66,golfball rolling on a cart path after a shot
339,958,golfball rolling on a cart path after a shot
340,403,golfball rolling on a cart path after a shot
341,17,golfball rolling on a cart path after a shot
342,834,golfball rolling on a cart path after a shot
343,276,golfball rolling on a cart path after a shot
344,705,golfball rolling on a cart path after a shot
345,158,golfball rolling on a cart path after a shot
346,622,golfball rolling on a cart path after a shot
347,392,golfball rolling on a cart path after a shot
348,86,golfball rolling on a cart path after a shot
349,749,golfball rolling on a cart path after a shot
350,534,golfball in a golf bag among other clubs
351,28,golfball in a golf bag among other clubs
352,816,golfball in a golf bag among other clubs
353,367,golfball in a golf bag among other clubs
354,692,golfball in a golf bag among other clubs
355,154,golfball in a golf bag among other clubs
356,628,golfball in a golf bag among other clubs
357,473,golfball in a golf bag among other clubs
358,89,golfball in a golf bag among other clubs
359,751,golfball in a golf bag among other clubs
360,246,golfball in a golf bag among other clubs
361,683,golfball in a golf bag among other clubs
362,41,golfball in a golf bag among other clubs
363,827,golfball in a golf bag among other clubs
364,315,golfball in a golf bag among other clubs
365,779,golfball in a golf bag among other clubs
366,198,golfball in a golf bag among other clubs
367,624,golfball in a golf bag among other clubs
368,167,golfball in a golf bag among other clubs
369,952,golfball in a golf bag among other clubs
370,387,golfball in a golf bag among other clubs
371,76,golfball in a golf bag among other clubs
372,643,golfball in a golf bag among other clubs
373,251,golfball in a golf bag among other clubs
374,718,golfball in a golf bag among other clubs
375,34,golfball in a golf bag among other clubs
376,886,golfball in a golf bag among other clubs
377,529,golfball in a golf bag among other clubs
378,68,golfball in a golf bag among other clubs
379,795,golfball in a golf bag among other clubs
380,314,golfball in a golf bag among other clubs
381,642,golfball in a golf bag among other clubs
382,177,golfball in a golf bag among other clubs
383,738,golfball in a golf bag among other clubs
384,52,golfball in a golf bag among other clubs
385,869,golfball in a golf bag among other clubs
386,426,golfball in a golf bag among other clubs
387,183,golfball in a golf bag among other clubs
388,961,golfball in a golf bag among other clubs
389,297,golfball in a golf bag among other clubs
390,704,golfball in a golf bag among other clubs
391,128,golfball in a golf bag among other clubs
392,556,golfball in a golf bag among other clubs
393,84,golfball in a golf bag among other clubs
394,793,golfball in a golf bag among other clubs
395,349,golfball in a golf bag among other clubs
396,672,golfball in a golf bag among other clubs
397,215,golfball in a golf bag among other clubs
398,645,golfball in a golf bag among other clubs
399,98,golfball in a golf bag among other clubs
400,287,golfball on a driving range with scattered balls
401,694,golfball on a driving range with scattered balls
402,53,golfball on a driving range with scattered balls
403,846,golfball on a driving range with scattered balls
404,172,golfball on a driving range with scattered balls
405,638,golfball on a driving range with scattered balls
406,429,golfball on a driving range with scattered balls
407,91,golfball on a driving range with scattered balls
408,735,golfball on a driving range with scattered balls
409,264,golfball on a driving range with scattered balls
410,813,golfball on a driving range with scattered balls
411,148,golfball on a driving range with scattered balls
412,572,golfball on a driving range with scattered balls
413,34,golfball on a driving range with scattered balls
414,769,golfball on a driving range with scattered balls
415,206,golfball on a driving range with scattered balls
416,641,golfball on a driving range with scattered balls
417,425,golfball on a driving range with scattered balls
418,87,golfball on a driving range with scattered balls
419,953,golfball on a driving range with scattered balls
420,318,golfball on a driving range with scattered balls
421,682,golfball on a driving range with scattered balls
422,157,golfball on a driving range with scattered balls
423,504,golfball on a driving range with scattered balls
424,76,golfball on a driving range with scattered balls
425,829,golfball on a driving range with scattered balls
426,362,golfball on a driving range with scattered balls
427,745,golfball on a driving range with scattered balls
428,194,golfball on a driving range with scattered balls
429,617,golfball on a driving range with scattered balls
430,42,golfball on a driving range with scattered balls
431,786,golfball on a driving range with scattered balls
432,253,golfball on a driving range with scattered balls
433,698,golfball on a driving range with scattered balls
434,135,golfball on a driving range with scattered balls
435,571,golfball on a driving range with scattered balls
436,389,golfball on a driving range with scattered balls
437,94,golfball on a driving range with scattered balls
438,722,golfball on a driving range with scattered balls
439,268,golfball on a driving range with scattered balls
440,859,golfball on a driving range with scattered balls
441,516,golfball on a driving range with scattered balls
442,47,golfball on a driving range with scattered balls
443,793,golfball on a driving range with scattered balls
444,312,golfball on a driving range with scattered balls
445,684,golfball on a driving range with scattered balls
446,136,golfball on a driving range with scattered balls
447,554,golfball on a driving range with scattered balls
448,78,golfball on a driving range with scattered balls
449,927,golfball on a driving range with scattered balls
450,631,golfball next to a flagstick on the green
451,45,golfball next to a flagstick on the green
452,874,golfball next to a flagstick on the green
453,218,golfball next to a flagstick on the green
454,762,golfball next to a flagstick on the green
455,396,golfball next to a flagstick on the green
456,147,golfball next to a flagstick on the green
457,528,golfball next to a flagstick on the green
458,89,golfball next to a flagstick on the green
459,735,golfball next to a flagstick on the green
460,274,golfball next to a flagstick on the green
461,682,golfball next to a flagstick on the green
462,33,golfball next to a flagstick on the green
463,849,golfball next to a flagstick on the green
464,406,golfball next to a flagstick on the green
465,178,golfball next to a flagstick on the green
466,593,golfball next to a flagstick on the green
467,62,golfball next to a flagstick on the green
468,766,golfball next to a flagstick on the green
469,315,golfball next to a flagstick on the green
470,721,golfball next to a flagstick on the green
471,234,golfball next to a flagstick on the green
472,897,golfball next to a flagstick on the green
473,158,golfball next to a flagstick on the green
474,642,golfball next to a flagstick on the green
475,82,golfball next to a flagstick on the green
476,708,golfball next to a flagstick on the green
477,426,golfball next to a flagstick on the green
478,56,golfball next to a flagstick on the green
479,953,golfball next to a flagstick on the green
480,371,golfball next to a flagstick on the green
481,148,golfball next to a flagstick on the green
482,684,golfball next to a flagstick on the green
483,214,golfball next to a flagstick on the green
484,736,golfball next to a flagstick on the green
485,52,golfball next to a flagstick on the green
486,849,golfball next to a flagstick on the green
487,327,golfball next to a flagstick on the green
488,591,golfball next to a flagstick on the green
489,173,golfball next to a flagstick on the green
490,765,golfball next to a flagstick on the green
491,248,golfball next to a flagstick on the green
492,682,golfball next to a flagstick on the green
493,46,golfball next to a flagstick on the green
494,837,golfball next to a flagstick on the green
495,391,golfball next to a flagstick on the green
496,125,golfball next to a flagstick on the green
497,756,golfball next to a flagstick on the green
498,284,golfball next to a flagstick on the green
499,619,golfball next to a flagstick on the green
500,837,golfball in a muddy patch after rain
501,194,golfball in a muddy patch after rain
502,652,golfball in a muddy patch after rain
503,48,golfball in a muddy patch after rain
504,726,golfball in a muddy patch after rain
505,381,golfball in a muddy patch after rain
506,273,golfball in a muddy patch after rain
507,814,golfball in a muddy patch after rain
508,159,golfball in a muddy patch after rain
509,645,golfball in a muddy patch after rain
510,37,golfball in a muddy patch after rain
511,792,golfball in a muddy patch after rain
512,416,golfball in a muddy patch after rain
513,128,golfball in a muddy patch after rain
514,668,golfball in a muddy patch after rain
515,94,golfball in a muddy patch after rain
516,753,golfball in a muddy patch after rain
517,282,golfball in a muddy patch after rain
518,631,golfball in a muddy patch after rain
519,156,golfball in a muddy patch after rain
520,857,golfball in a muddy patch after rain
521,423,golfball in a muddy patch after rain
522,65,golfball in a muddy patch after rain
523,718,golfball in a muddy patch after rain
524,301,golfball in a muddy patch after rain
525,846,golfball in a muddy patch after rain
526,189,golfball in a muddy patch after rain
527,572,golfball in a muddy patch after rain
528,78,golfball in a muddy patch after rain
529,964,golfball in a muddy patch after rain
530,348,golfball in a muddy patch after rain
531,127,golfball in a muddy patch after rain
532,695,golfball in a muddy patch after rain
533,253,golfball in a muddy patch after rain
534,816,golfball in a muddy patch after rain
535,52,golfball in a muddy patch after rain
536,789,golfball in a muddy patch after rain
537,436,golfball in a muddy patch after rain
538,168,golfball in a muddy patch after rain
539,607,golfball in a muddy patch after rain
540,84,golfball in a muddy patch after rain
541,752,golfball in a muddy patch after rain
542,391,golfball in a muddy patch after rain
543,23,golfball in a muddy patch after rain
544,684,golfball in a muddy patch after rain
545,178,golfball in a muddy patch after rain
546,536,golfball in a muddy patch after rain
547,472,golfball in a muddy patch after rain
548,319,golfball in a muddy patch after rain
549,841,golfball in a muddy patch after rain
550,269,golfball on a frozen golf course in winter
551,754,golfball on a frozen golf course in winter
552,48,golfball on a frozen golf course in winter
553,692,golfball on a frozen golf course in winter
554,136,golfball on a frozen golf course in winter
555,821,golfball on a frozen golf course in winter
556,347,golfball on a frozen golf course in winter
557,615,golfball on a frozen golf course in winter
558,95,golfball on a frozen golf course in winter
559,763,golfball on a frozen golf course in winter
560,428,golfball on a frozen golf course in winter
561,274,golfball on a frozen golf course in winter
562,841,golfball on a frozen golf course in winter
563,188,golfball on a frozen golf course in winter
564,672,golfball on a frozen golf course in winter
565,54,golfball on a frozen golf course in winter
566,739,golfball on a frozen golf course in winter
567,316,golfball on a frozen golf course in winter
568,893,golfball on a frozen golf course in winter
569,169,golfball on a frozen golf course in winter
570,657,golfball on a frozen golf course in winter
571,42,golfball on a frozen golf course in winter
572,794,golfball on a frozen golf course in winter
573,268,golfball on a frozen golf course in winter
574,685,golfball on a frozen golf course in winter
575,148,golfball on a frozen golf course in winter
576,836,golfball on a frozen golf course in winter
577,327,golfball on a frozen golf course in winter
578,61,golfball on a frozen golf course in winter
579,752,golfball on a frozen golf course in winter
580,491,golfball on a frozen golf course in winter
581,215,golfball on a frozen golf course in winter
582,683,golfball on a frozen golf course in winter
583,37,golfball on a frozen golf course in winter
584,879,golfball on a frozen golf course in winter
585,163,golfball on a frozen golf course in winter
586,608,golfball on a frozen golf course in winter
587,284,golfball on a frozen golf course in winter
588,739,golfball on a frozen golf course in winter
589,46,golfball on a frozen golf course in winter
590,817,golfball on a frozen golf course in winter
591,352,golfball on a frozen golf course in winter
592,694,golfball on a frozen golf course in winter
593,128,golfball on a frozen golf course in winter
594,756,golfball on a frozen golf course in winter
595,205,golfball on a frozen golf course in winter
596,642,golfball on a frozen golf course in winter
597,77,golfball on a frozen golf course in winter
598,821,golfball on a frozen golf course in winter
599,394,golfball on a frozen golf course in winter
600,468,golfball at the bottom of a golf cup after a putt
601,29,golfball at the bottom of a golf cup after a putt
602,847,golfball at the bottom of a golf cup after a putt
603,192,golfball at the bottom of a golf cup after a putt
604,633,golfball at the bottom of a golf cup after a putt
605,86,golfball at the bottom of a golf cup after a putt
606,754,golfball at the bottom of a golf cup after a putt
607,371,golfball at the bottom of a golf cup after a putt
608,167,golfball at the bottom of a golf cup after a putt
609,938,golfball at the bottom of a golf cup after a putt
610,254,golfball at the bottom of a golf cup after a putt
611,682,golfball at the bottom of a golf cup after a putt
612,43,golfball at the bottom of a golf cup after a putt
613,826,golfball at the bottom of a golf cup after a putt
614,398,golfball at the bottom of a golf cup after a putt
615,175,golfball at the bottom of a golf cup after a putt
616,561,golfball at the bottom of a golf cup after a putt
617,94,golfball at the bottom of a golf cup after a putt
618,749,golfball at the bottom of a golf cup after a putt
619,318,golfball at the bottom of a golf cup after a putt
620,672,golfball at the bottom of a golf cup after a putt
621,128,golfball at the bottom of a golf cup after a putt
622,894,golfball at the bottom of a golf cup after a putt
623,235,golfball at the bottom of a golf cup after a putt
624,647,golfball at the bottom of a golf cup after a putt
625,72,golfball at the bottom of a golf cup after a putt
626,886,golfball at the bottom of a golf cup after a putt
627,453,golfball at the bottom of a golf cup after a putt
628,26,golfball at the bottom of a golf cup after a putt
629,734,golfball at the bottom of a golf cup after a putt
630,152,golfball at the bottom of a golf cup after a putt
631,683,golfball at the bottom of a golf cup after a putt
632,416,golfball at the bottom of a golf cup after a putt
633,89,golfball at the bottom of a golf cup after a putt
634,927,golfball at the bottom of a golf cup after a putt
635,341,golfball at the bottom of a golf cup after a putt
636,168,golfball at the bottom of a golf cup after a putt
637,784,golfball at the bottom of a golf cup after a putt
638,57,golfball at the bottom of a golf cup after a putt
639,821,golfball at the bottom of a golf cup after a putt
640,263,golfball at the bottom of a golf cup after a putt
641,692,golfball at the bottom of a golf cup after a putt
642,147,golfball at the bottom of a golf cup after a putt
643,531,golfball at the bottom of a golf cup after a putt
644,82,golfball at the bottom of a golf cup after a putt
645,769,golfball at the bottom of a golf cup after a putt
646,307,golfball at the bottom of a golf cup after a putt
647,628,golfball at the bottom of a golf cup after a putt
648,46,golfball at the bottom of a golf cup after a putt
649,915,golfball at the bottom of a golf cup after a putt
650,538,golfball in a golfer's hand preparing to tee off
651,24,golfball in a golfer's hand preparing to tee off
652,793,golfball in a golfer's hand preparing to tee off
653,186,golfball in a golfer's hand preparing to tee off
654,647,golfball in a golfer's hand preparing to tee off
655,95,golfball in a golfer's hand preparing to tee off
656,814,golfball in a golfer's hand preparing to tee off
657,367,golfball in a golfer's hand preparing to tee off
658,172,golfball in a golfer's hand preparing to tee off
659,686,golfball in a golfer's hand preparing to tee off
660,48,golfball in a golfer's hand preparing to tee off
661,752,golfball in a golfer's hand preparing to tee off
662,301,golfball in a golfer's hand preparing to tee off
663,837,golfball in a golfer's hand preparing to tee off
664,254,golfball in a golfer's hand preparing to tee off
665,715,golfball in a golfer's hand preparing to tee off
666,63,golfball in a golfer's hand preparing to tee off
667,829,golfball in a golfer's hand preparing to tee off
668,432,golfball in a golfer's hand preparing to tee off
669,197,golfball in a golfer's hand preparing to tee off
670,688,golfball in a golfer's hand preparing to tee off
671,136,golfball in a golfer's hand preparing to tee off
672,754,golfball in a golfer's hand preparing to tee off
673,312,golfball in a golfer's hand preparing to tee off
674,849,golfball in a golfer's hand preparing to tee off
675,86,golfball in a golfer's hand preparing to tee off
676,723,golfball in a golfer's hand preparing to tee off
677,465,golfball in a golfer's hand preparing to tee off
678,38,golfball in a golfer's hand preparing to tee off
679,692,golfball in a golfer's hand preparing to tee off
680,217,golfball in a golfer's hand preparing to tee off
681,741,golfball in a golfer's hand preparing to tee off
682,159,golfball in a golfer's hand preparing to tee off
683,608,golfball in a golfer's hand preparing to tee off
684,74,golfball in a golfer's hand preparing to tee off
685,883,golfball in a golfer's hand preparing to tee off
686,346,golfball in a golfer's hand preparing to tee off
687,681,golfball in a golfer's hand preparing to tee off
688,115,golfball in a golfer's hand preparing to tee off
689,826,golfball in a golfer's hand preparing to tee off
690,278,golfball in a golfer's hand preparing to tee off
691,642,golfball in a golfer's hand preparing to tee off
692,53,golfball in a golfer's hand preparing to tee off
693,799,golfball in a golfer's hand preparing to tee off
694,341,golfball in a golfer's hand preparing to tee off
695,728,golfball in a golfer's hand preparing to tee off
696,187,golfball in a golfer's hand preparing to tee off
697,659,golfball in a golfer's hand preparing to tee off
698,92,golfball in a golfer's hand preparing to tee off
699,815,golfball in a golfer's hand preparing to tee off
700,472,golfball on a cliffside golf course overlooking the ocean
701,58,golfball on a cliffside golf course overlooking the ocean
702,864,golfball on a cliffside golf course overlooking the ocean
703,295,golfball on a cliffside golf course overlooking the ocean
704,613,golfball on a cliffside golf course overlooking the ocean
705,146,golfball on a cliffside golf course overlooking the ocean
706,789,golfball on a cliffside golf course overlooking the ocean
707,37,golfball on a cliffside golf course overlooking the ocean
708,521,golfball on a cliffside golf course overlooking the ocean
709,164,golfball on a cliffside golf course overlooking the ocean
710,938,golfball on a cliffside golf course overlooking the ocean
711,386,golfball on a cliffside golf course overlooking the ocean
712,174,golfball on a cliffside golf course overlooking the ocean
713,642,golfball on a cliffside golf course overlooking the ocean
